0.000000,0.045455,0.050847,0.083333
0.687500,0.500000,0.796610,0.833333
0.375000,0.363636,0.542373,0.458333
0.187500,0.681818,0.084746,0.125000
0.093750,0.545455,0.101695,0.041667
0.562500,0.318182,0.779661,0.708333
0.593750,0.318182,0.559322,0.500000
1.000000,0.272727,0.966102,0.791667
1.000000,0.181818,1.000000,0.916667
0.187500,0.727273,0.152542,0.125000
0.593750,0.454545,0.593220,0.583333
0.312500,0.090909,0.457627,0.375000
0.437500,0.363636,0.694915,0.708333
0.093750,0.363636,0.067797,0.000000
0.843750,0.363636,0.813559,0.625000
0.562500,0.500000,0.627119,0.625000
0.781250,0.454545,0.627119,0.541667
0.156250,0.363636,0.101695,0.041667
0.593750,0.272727,0.779661,0.833333
0.562500,0.136364,0.677966,0.750000
0.156250,0.590909,0.101695,0.208333
0.125000,0.363636,0.067797,0.041667
0.500000,0.272727,0.508475,0.500000
0.625000,0.272727,0.610169,0.583333
0.562500,0.500000,0.847458,1.000000
0.406250,0.818182,0.033898,0.041667
0.031250,0.545455,0.067797,0.083333
0.312500,0.090909,0.474576,0.416667
0.156250,0.545455,0.101695,0.125000
0.437500,0.454545,0.644068,0.708333
0.750000,0.409091,0.745763,0.833333
0.093750,0.409091,0.101695,0.041667
0.687500,0.136364,0.813559,0.708333
0.375000,1.000000,0.084746,0.125000
0.375000,0.727273,0.118644,0.083333
0.687500,0.363636,0.677966,0.666667
0.031250,0.636364,0.000000,0.041667
0.281250,0.681818,0.084746,0.041667
0.656250,0.318182,0.610169,0.500000
0.875000,0.318182,0.898305,0.708333
0.656250,0.363636,0.576271,0.541667
0.343750,0.318182,0.440678,0.500000
0.343750,0.136364,0.491525,0.416667
0.031250,0.409091,0.084746,0.041667
0.156250,0.590909,0.050847,0.083333
0.718750,0.272727,0.644068,0.541667
0.500000,0.181818,0.779661,0.541667
0.125000,0.409091,0.084746,0.000000
0.218750,0.590909,0.084746,0.041667
0.343750,0.227273,0.542373,0.500000
0.468750,0.545455,0.593220,0.625000
0.531250,0.318182,0.559322,0.500000
0.812500,0.363636,0.830508,0.833333
0.750000,0.409091,0.661017,0.583333
0.406250,0.181818,0.508475,0.458333
0.375000,0.272727,0.525424,0.500000
0.968750,0.363636,0.949153,0.833333
0.156250,0.545455,0.084746,0.041667
0.250000,0.681818,0.084746,0.041667
0.437500,0.363636,0.542373,0.583333
0.750000,0.454545,0.796610,0.916667
0.593750,0.409091,0.762712,0.708333
0.843750,0.454545,0.847458,0.708333
0.625000,0.363636,0.711864,0.791667
0.187500,0.545455,0.084746,0.041667
0.281250,0.363636,0.593220,0.583333
0.062500,0.454545,0.050847,0.041667
0.406250,0.227273,0.525424,0.375000
0.375000,0.272727,0.593220,0.500000
0.156250,0.500000,0.067797,0.041667
0.531250,0.000000,0.593220,0.583333
0.687500,0.409091,0.779661,0.958333
0.468750,0.318182,0.593220,0.583333
0.687500,0.500000,0.796610,1.000000
0.593750,0.227273,0.728814,0.750000
0.218750,0.863636,0.084746,0.000000
0.500000,0.272727,0.627119,0.458333
0.031250,0.454545,0.067797,0.041667
0.531250,0.545455,0.745763,0.916667
0.375000,0.136364,0.677966,0.791667
0.375000,0.318182,0.542373,0.500000
0.125000,0.090909,0.389831,0.375000
0.562500,0.227273,0.661017,0.708333
0.125000,0.136364,0.593220,0.666667
0.468750,0.227273,0.694915,0.625000
0.187500,0.590909,0.067797,0.083333
0.187500,0.136364,0.338983,0.416667
0.343750,0.363636,0.593220,0.583333
0.531250,0.272727,0.644068,0.708333
0.843750,0.636364,0.864407,1.000000
